"name","symbol","price","market_cap","total_volume","timestamp"
Bitcoin,BTC,105631,2099612457754,26103751572,2025-06-03 23:31:42.116
Ethereum,ETH,2598.99,313833652899,16438620695,2025-06-03 23:31:42.116
Tether,USDT,1.001,153397053750,45098335828,2025-06-03 23:31:42.116
BNB,BNB,661.88,96558939438,721279682,2025-06-03 23:31:42.116
Solana,SOL,155.77,81393824279,4008731664,2025-06-03 23:31:42.116
USDC,USDC,0.999811,61454274330,4196841006,2025-06-03 23:31:42.116
Dogecoin,DOGE,0.193662,28964589138,1077937098,2025-06-03 23:31:42.116
TRON,TRX,0.270743,25682981894,396194366,2025-06-03 23:31:42.116
Cardano,ADA,0.686491,24767909654,482000971,2025-06-03 23:31:42.116
Chainlink,LINK,14.14,9290649994,354534531,2025-06-03 23:31:42.116
Avalanche,AVAX,21.17,8923279574,358339072,2025-06-03 23:31:42.116
Stellar,XLM,0.273573,8530377218,185258109,2025-06-03 23:31:42.116
Litecoin,LTC,89.69,6810199775,292503994,2025-06-03 23:31:42.116
Polkadot,DOT,4.15,6315274957,175336511,2025-06-03 23:31:42.116
Bitcoin,BTC,105614,2099340504887,26053030090,2025-06-03 23:34:28.038
Ethereum,ETH,2598.82,313765032547,16375757591,2025-06-03 23:34:28.038
Tether,USDT,1.001,153397315905,46376242677,2025-06-03 23:34:28.038
BNB,BNB,661.9,96562882745,721478342,2025-06-03 23:34:28.038
Solana,SOL,155.78,81397860783,4008752309,2025-06-03 23:34:28.038
USDC,USDC,0.999808,61456296457,4389166092,2025-06-03 23:34:28.038
Dogecoin,DOGE,0.193643,28960617604,1077586749,2025-06-03 23:34:28.038
TRON,TRX,0.270705,25680747661,396204245,2025-06-03 23:34:28.038
Cardano,ADA,0.686508,24773734288,496642061,2025-06-03 23:34:28.038
Chainlink,LINK,14.14,9289157834,354281632,2025-06-03 23:34:28.038
Avalanche,AVAX,21.16,8922848579,358057485,2025-06-03 23:34:28.038
Stellar,XLM,0.273544,8528603195,185169639,2025-06-03 23:34:28.038
Litecoin,LTC,89.7,6809933858,291959297,2025-06-03 23:34:28.038
Polkadot,DOT,4.15,6313446402,175280348,2025-06-03 23:34:28.038
Bitcoin,BTC,105505,2097075602012,26103311487,2025-06-03 23:42:50.707
Ethereum,ETH,2596.9,313526804690,16309349981,2025-06-03 23:42:50.707
Tether,USDT,1.001,153399428203,20497405638,2025-06-03 23:42:50.707
BNB,BNB,661.84,96555270252,721278894,2025-06-03 23:42:50.707
Solana,SOL,155.64,81327342484,4039735539,2025-06-03 23:42:50.707
USDC,USDC,0.999801,61455781581,4728014458,2025-06-03 23:42:50.707
Dogecoin,DOGE,0.193545,28946995698,1096936894,2025-06-03 23:42:50.707
TRON,TRX,0.270519,25662661316,401023891,2025-06-03 23:42:50.707
Cardano,ADA,0.685892,24760805714,496995602,2025-06-03 23:42:50.707
Chainlink,LINK,14.12,9280563454,347084736,2025-06-03 23:42:50.707
Avalanche,AVAX,21.14,8912935323,354381282,2025-06-03 23:42:50.707
Stellar,XLM,0.273493,8528096049,184992065,2025-06-03 23:42:50.707
Litecoin,LTC,89.68,6809132502,291258662,2025-06-03 23:42:50.707
Polkadot,DOT,4.14,6309808299,174952677,2025-06-03 23:42:50.707
Bitcoin,BTC,105432,2095294001281,25925825435,2025-06-03 23:54:50.046
Ethereum,ETH,2595.48,313315832347,15956138840,2025-06-03 23:54:50.046
Tether,USDT,1.001,153397794280,46738218112,2025-06-03 23:54:50.046
BNB,BNB,661.12,96448470574,717749488,2025-06-03 23:54:50.046
Solana,SOL,155.58,81312595240,4002209025,2025-06-03 23:54:50.046
USDC,USDC,0.999808,61456137243,4606177430,2025-06-03 23:54:50.046
Dogecoin,DOGE,0.193179,28890544653,1022759441,2025-06-03 23:54:50.046
TRON,TRX,0.270459,25655585215,400955293,2025-06-03 23:54:50.046
Cardano,ADA,0.684779,24719577930,494679782,2025-06-03 23:54:50.046
Chainlink,LINK,14.11,9274834957,345276732,2025-06-03 23:54:50.046
Avalanche,AVAX,21.13,8906577572,351464521,2025-06-03 23:54:50.046
Stellar,XLM,0.273201,8518146043,184864737,2025-06-03 23:54:50.046
Litecoin,LTC,89.64,6806094943,290558311,2025-06-03 23:54:50.046
Polkadot,DOT,4.14,6305300293,174255648,2025-06-03 23:54:50.046
